temp,Irrad
10.772,130.217
20.491,316.833
21.836,363.783
22.38,365.788
22.595,489.283
22.811,527
22.9,571.354
23.182,581
23.446,581.505
23.772,674.515
23.919,852.792
23.967,900.638
24.012,910.167
24.045,953.109
24.296,968.25
24.695,971.117
24.709,1040.29
24.736,1051.67
24.81,1062.018
24.853,1150.456
24.952,1257.25
24.983,1274.809
25.015,1275.295
25.048,1306.918
25.061,1383.848
25.115,1412.556
25.192,1474.462
25.212,1480.43
25.351,1488.333
25.434,1502.776
25.462,1526.525
25.479,1529.25
25.604,1631.666
25.694,1661.75
25.703,1696.295
25.819,1721.962
25.893,1759.015
25.985,1830.25
26.094,1840.567
26.112,1862.225
26.131,1962.673
26.3,1965.667
26.439,1967.833
26.5,2082.56
26.507,2090.403
26.678,2105.485
26.693,2120.6
26.841,2157.477
26.865,2161.143
26.918,2203.172
26.928,2220.75
26.985,2245.187
27.111,2292.75
27.2,2337.902
27.23,2394.356
27.291,2436.673
27.468,2463
27.545,2531.5
27.675,2595.465
27.702,2604.614
27.775,2678.338
27.779,2690.262
27.794,2793.072
27.807,2806.413
27.835,2807.183
27.874,2819.667
27.941,2844.356
27.986,2866.194
28.021,2890.326
28.03,2985.067
28.046,2990.815
28.066,3009.45
28.09,3071.083
28.135,3076.22
28.154,3100.803
28.168,3115.467
28.185,3143.696
28.205,3205.583
28.206,3219.842
28.208,3264.177
28.227,3288.083
28.237,3294.54
28.251,3297.525
28.376,3393.662
28.402,3450.042
28.421,3467.583
28.463,3480.395
28.487,3503.417
28.523,3516.5
28.585,3544.369
28.617,3577.942
28.7,3653.25
28.723,3656.648
28.728,3661.35
28.76,3699.071
28.801,3716.444
28.871,3722.333
28.912,3723.03
28.913,3766.265
28.973,3791.615
29.011,3794.967
29.096,3801.808
29.139,3858.475
29.157,3882.973
29.186,3888.149
29.258,3929.489
29.279,3932.481
29.315,3932.508
29.38,3940.22
29.425,3941.78
29.481,3965.194
29.49,4010.814
29.511,4024.222
29.556,4026.75
29.604,4036.182
29.88,4048.682
29.891,4054.238
29.897,4056.833
29.913,4077.417
29.968,4096.058
30.002,4116.987
30.083,4169.75
30.267,4172.212
30.288,4185.667
30.357,4194.774
30.367,4223.45
30.405,4235.417
30.41,4281.862
30.427,4290.277
30.502,4302.785
30.515,4307.689
30.524,4311.172
30.595,4316.379
30.691,4341.806
30.752,4342.267
30.759,4356.205
30.831,4369.595
30.867,4370.7
30.973,4375.85
31.032,4385.754
31.044,4395.894
31.066,4397.083
31.132,4406.25
31.147,4451.917
31.191,4460.955
31.205,4523.511
31.246,4561.326
31.301,4562.968
31.343,4565.78
31.393,4589.924
31.424,4591.508
31.428,4599.167
31.443,4600.833
31.455,4624.711
31.49,4624.75
31.632,4640.167
31.67,4663.368
31.724,4677.417
31.758,4699.417
31.773,4705.386
31.781,4714.848
31.797,4717.176
31.87,4724.545
32.012,4728.07
32.07,4773.808
32.082,4777.28
32.091,4845.288
32.094,4908.53
32.107,4970.97
32.208,4980.641
32.221,4986.85
32.245,5016.667
32.296,5025.507
32.297,5045.867
32.322,5120.204
32.582,5159.691
32.669,5161.483
32.723,5166.083
32.725,5192.389
32.751,5225.819
32.762,5271.341
32.852,5282.417
32.951,5289.712
32.959,5342.542
32.977,5348.814
33.021,5404.167
33.107,5446.633
33.112,5484
33.122,5509.964
33.245,5546.77
33.291,5576
33.297,5596.75
33.335,5642.205
33.345,5652.083
33.347,5700.433
33.357,5705.617
33.443,5745.758
33.465,5745.924
33.512,5754.591
33.518,5758.623
33.896,5771.432
33.997,5813.4
34.038,5903.909
34.231,5929.439
34.251,5930.047
34.497,5960.617
34.514,5970.917
34.702,6073.886
34.807,6135.629
34.903,6156.62
34.915,6182.05
34.968,6189.909
35.223,6213.217
35.482,6300.311
36.165,6316.841
37.85,6457.358
